t NoGP OffGP ET TT 
2.4900000000 0.2982100342 0.1556567435 0.0597841879 0.0596271474 
2.5000000000 0.2977391880 0.1555202816 0.0582457746 0.0580936923 
2.5100000000 0.2972418890 0.1554043253 0.0567867219 0.0566186211 
2.5200000000 0.2967335078 0.1553085200 0.0553849887 0.0552019420 
2.5300000000 0.2962045120 0.1552300477 0.0540404320 0.0538630989 
2.5400000000 0.2956550971 0.1551684992 0.0527523490 0.0525810037 
2.5500000000 0.2950822517 0.1551218851 0.0515202818 0.0513552489 
2.5600000000 0.2944887773 0.1550881606 0.0503637110 0.0501863484 
2.5700000000 0.2938819657 0.1550666297 0.0492617549 0.0490958230 
2.5800000000 0.2932446322 0.1550537586 0.0482146746 0.0480569067 
2.5900000000 0.2925862836 0.1550493207 0.0472209774 0.0470722661 
2.6000000000 0.2919125901 0.1550522660 0.0462986407 0.0461416315 
2.6100000000 0.2912179370 0.1550606922 0.0454277841 0.0452295790 
2.6200000000 0.2905103957 0.1550730633 0.0445911568 0.0443927940 
2.6300000000 0.2897797832 0.1550890516 0.0438031847 0.0436123853 
2.6400000000 0.2890350398 0.1551042097 0.0430838407 0.0428837869 
2.6500000000 0.2882793834 0.1551190241 0.0424092702 0.0422266955 
2.6600000000 0.2875013515 0.1551348124 0.0417810472 0.0416167007 
2.6700000000 0.2866993555 0.1551479423 0.0412007105 0.0410434252 
2.6800000000 0.2858854765 0.1551566143 0.0406601516 0.0405293058 
2.6900000000 0.2850583331 0.1551571671 0.0401461491 0.0400611924 
2.7000000000 0.2842197033 0.1551512677 0.0396651101 0.0396335626 
2.7100000000 0.2833683381 0.1551377539 0.0392453011 0.0392476077 
2.7200000000 0.2824943053 0.1551173621 0.0388720382 0.0389128569 
2.7300000000 0.2816096252 0.1550869911 0.0385436190 0.0386092210 
2.7400000000 0.2807218745 0.1550460388 0.0382496381 0.0383390133 
2.7500000000 0.2798140931 0.1549917803 0.0379949877 0.0381015776 
2.7600000000 0.2788949324 0.1549251014 0.0377774067 0.0378887650 
2.7700000000 0.2779651284 0.1548474290 0.0375841924 0.0377111475 
2.7800000000 0.2770235376 0.1547558314 0.0374276221 0.0375588952 
2.7900000000 0.2760732437 0.1546521387 0.0373004832 0.0374260292 
2.8000000000 0.2751119317 0.1545360760 0.0371976543 0.0373072869 
2.8100000000 0.2741402185 0.1544071594 0.0371156930 0.0372395720 
2.8200000000 0.2731713746 0.1542617599 0.0370446698 0.0371946372 
2.8300000000 0.2721927015 0.1540955114 0.0370012064 0.0371625652 
2.8400000000 0.2712061206 0.1539151342 0.0369719079 0.0371462139 
2.8500000000 0.2702202373 0.1537203969 0.0369467401 0.0371546865 
2.8600000000 0.2692258018 0.1535110989 0.0369410058 0.0371658092 
2.8700000000 0.2682246862 0.1532792059 0.0369426944 0.0371857642 
2.8800000000 0.2672254705 0.1530362259 0.0369404994 0.0372249031 
2.8900000000 0.2662190359 0.1527782702 0.0369538124 0.0372582560 
2.9000000000 0.2652060672 0.1524972075 0.0369685005 0.0372935339 
2.9100000000 0.2641975962 0.1522013953 0.0369827626 0.0373422356 
2.9200000000 0.2631833021 0.1518947584 0.0370075703 0.0373891535 
2.9300000000 0.2621721864 0.1515650283 0.0370287049 0.0374462029 
2.9400000000 0.2611571883 0.1512308001 0.0370478754 0.0374878000 
2.9500000000 0.2601462610 0.1508732562 0.0370643037 0.0375365366 
2.9600000000 0.2591326596 0.1505061712 0.0370864043 0.0375771635 
2.9700000000 0.2581247153 0.1501210678 0.0370999596 0.0376278163 
2.9800000000 0.2571218894 0.1497229433 0.0371108362 0.0376683267 
2.9900000000 0.2561165772 0.1493215434 0.0371102925 0.0376934416 
3.0000000000 0.2551181675 0.1489031096 0.0371062940 0.0377055091 
3.0100000000 0.2541261572 0.1484772991 0.0370895250 0.0377906173 
3.0200000000 0.2531409256 0.1480362718 0.0371901977 0.0378713134 
3.0300000000 0.2521557758 0.1475889064 0.0373015339 0.0379537033 
3.0400000000 0.2511783012 0.1471259946 0.0373940277 0.0380267521 
3.0500000000 0.2502088749 0.1466540810 0.0374877449 0.0380736458 
3.0600000000 0.2492484835 0.1461777019 0.0375714440 0.0381274205 
3.0700000000 0.2482966890 0.1456932374 0.0376406061 0.0381786908 
3.0800000000 0.2473464862 0.1452104864 0.0377061216 0.0382007632 
3.0900000000 0.2464065234 0.1447162017 0.0377687408 0.0382280425 
3.1000000000 0.2454763965 0.1442247070 0.0378172662 0.0382503071 
3.1100000000 0.2445564544 0.1437231243 0.0378454889 0.0382543799 
3.1200000000 0.2436475760 0.1432214729 0.0378684085 0.0382371214 
3.1300000000 0.2427493803 0.1427200876 0.0378955177 0.0382129524 
3.1400000000 0.2418539897 0.1422112811 0.0379037808 0.0381790511 
3.1500000000 0.2409709010 0.1417130143 0.0379154265 0.0381483343 
3.1600000000 0.2400991092 0.1412123986 0.0379089599 0.0380954046 
3.1700000000 0.2392398355 0.1407067215 0.0378781157 0.0380450382 
3.1800000000 0.2383938544 0.1402131059 0.0378387082 0.0379710473 
3.1900000000 0.2375608323 0.1397160013 0.0377879585 0.0378847999 
3.2000000000 0.2367471636 0.1392241551 0.0377394166 0.0378006910 
3.2100000000 0.2359467101 0.1387428949 0.0376668713 0.0377928965 
3.2200000000 0.2351597571 0.1382635436 0.0375854943 0.0377883890 
3.2300000000 0.2343869698 0.1377887225 0.0374912472 0.0377716561 
3.2400000000 0.2336275430 0.1373266171 0.0373862214 0.0377447327 
3.2500000000 0.2328828526 0.1368727084 0.0372676260 0.0377044928 
3.2600000000 0.2321526046 0.1364256249 0.0371503039 0.0376504318 
3.2700000000 0.2314369365 0.1359947749 0.0370189136 0.0375989843 
3.2800000000 0.2307416081 0.1355680218 0.0368886317 0.0375221498 
3.2900000000 0.2300610760 0.1351540907 0.0367438332 0.0374470802 
3.3000000000 0.2293954635 0.1347574214 0.0365747400 0.0373425483 
3.3100000000 0.2287451441 0.1343708464 0.0364064860 0.0372222838 
3.3200000000 0.2281102354 0.1339925232 0.0362231225 0.0371033454 
3.3300000000 0.2274958318 0.1336345126 0.0360404996 0.0369682247 
3.3400000000 0.2268971590 0.1332885164 0.0358424880 0.0368060631 
3.3500000000 0.2263136760 0.1329556141 0.0358125115 0.0366592180 
3.3600000000 0.2257463010 0.1326434683 0.0357735118 0.0364955359 
3.3700000000 0.2251945388 0.1323447080 0.0357195019 0.0363148152 
3.3800000000 0.2246633533 0.1320597212 0.0356500691 0.0361350413 
3.3900000000 0.2241477171 0.1317926947 0.0355817598 0.0359520255 
3.4000000000 0.2236481880 0.1315404632 0.0354971968 0.0357514413 
3.4100000000 0.2231649982 0.1313027348 0.0353960603 0.0356742279 
3.4200000000 0.2227018355 0.1310825316 0.0352815721 0.0355940016 
3.4300000000 0.2222548285 0.1308819487 0.0351678358 0.0354804641 
3.4400000000 0.2218240367 0.1306990543 0.0350368285 0.0353490002 
3.4500000000 0.2214096312 0.1305308613 0.0349023137 0.0352326114 
3.4600000000 0.2210147663 0.1303820702 0.0347499812 0.0350978465 
3.4700000000 0.2206359830 0.1302508991 0.0346016146 0.0349479810 
3.4800000000 0.2202736523 0.1301340754 0.0344351038 0.0347793034 
3.4900000000 0.2199276019 0.1300394791 0.0342502831 0.0346056120 
3.5000000000 0.2196007200 0.1299588215 0.0340610184 0.0344326088 
3.5100000000 0.2192899986 0.1298953316 0.0338531011 0.0342437832 
3.5200000000 0.2189953592 0.1298453716 0.0336489246 0.0340522420 
3.5300000000 0.2187170254 0.1298167360 0.0334399274 0.0338551243 
3.5400000000 0.2184572248 0.1298045952 0.0332119084 0.0336382359 
3.5500000000 0.2182134478 0.1298050498 0.0329949403 0.0334155382 
3.5600000000 0.2179856156 0.1298258212 0.0327480882 0.0331622464 
3.5700000000 0.2177755961 0.1298582980 0.0324961678 0.0329235285 
3.5800000000 0.2175813439 0.1299058345 0.0322585322 0.0326959286 
3.5900000000 0.2174028798 0.1299684914 0.0320175808 0.0324479900 
3.6000000000 0.2172401450 0.1300452361 0.0317606137 0.0321831905 
3.6100000000 0.2170943120 0.1301356886 0.0314984574 0.0319873618 
3.6200000000 0.2169650080 0.1302398636 0.0312166591 0.0317886577 
3.6300000000 0.2168506985 0.1303567484 0.0309350777 0.0315836434 
3.6400000000 0.2167513089 0.1304857544 0.0306483968 0.0313614941 
3.6500000000 0.2166674915 0.1306270361 0.0303419955 0.0311325040 
3.6600000000 0.2165980883 0.1307788490 0.0300469560 0.0308825576 
3.6700000000 0.2165434154 0.1309459282 0.0298945575 0.0306433305 
3.6800000000 0.2165032880 0.1311231427 0.0297367095 0.0303966912 
3.6900000000 0.2164778526 0.1313060812 0.0295896139 0.0301321577 
3.7000000000 0.2164658408 0.1315020277 0.0294108578 0.0298780755 
3.7100000000 0.2164679068 0.1317064645 0.0292461730 0.0296024627 
3.7200000000 0.2164837518 0.1319187804 0.0290751660 0.0293087208 
