t q1 q2 q3 q4 q5 
46.2000000000 0.0016144869 0.0053982585 0.0089431316 0.0201911238 0.0307535967 
46.5000000000 0.0015486181 0.0051325177 0.0084621369 0.0195749897 0.0291686722 
46.8000000000 0.0015000897 0.0049733409 0.0081777963 0.0191160528 0.0282918520 
47.1000000000 0.0014982317 0.0049036270 0.0079399245 0.0185790218 0.0274776535 
47.4000000000 0.0014774597 0.0048208585 0.0078173175 0.0182740803 0.0267184337 
47.7000000000 0.0014580141 0.0047655381 0.0077550784 0.0178582073 0.0263585448 
48.0000000000 0.0014306366 0.0047100685 0.0077487917 0.0176259562 0.0261341001 
48.3000000000 0.0013862740 0.0046535026 0.0077585815 0.0174959319 0.0260484262 
48.6000000000 0.0013944425 0.0045821226 0.0078017367 0.0174177160 0.0258566945 
48.9000000000 0.0013676560 0.0044906934 0.0078136748 0.0172632372 0.0255352838 
49.2000000000 0.0013070025 0.0044523968 0.0076688637 0.0169528919 0.0251233588 
49.5000000000 0.0011866585 0.0044066257 0.0073817507 0.0165579078 0.0244831785 
49.8000000000 0.0011684358 0.0042593061 0.0070981121 0.0156797822 0.0237741912 
50.1000000000 0.0011104933 0.0041381623 0.0068197484 0.0148520006 0.0226522201 
50.4000000000 0.0010537671 0.0039082606 0.0065553856 0.0135329628 0.0212383364 
50.7000000000 0.0010453947 0.0037387943 0.0062951828 0.0125526511 0.0198169172 
51.0000000000 0.0009732970 0.0035792343 0.0060763727 0.0114205175 0.0182829294 
51.3000000000 0.0009412559 0.0033917187 0.0058620037 0.0104969455 0.0169238279 
51.6000000000 0.0009688023 0.0032804480 0.0056893585 0.0098860525 0.0156489025 
51.9000000000 0.0009621436 0.0032810893 0.0055811546 0.0096757566 0.0149222919 
52.2000000000 0.0010324879 0.0034776672 0.0056561642 0.0098666278 0.0144275716 
52.5000000000 0.0011192575 0.0037378888 0.0058450312 0.0106570441 0.0142579310 
52.8000000000 0.0012511071 0.0039834937 0.0063253032 0.0118081910 0.0149825522 
53.1000000000 0.0014945322 0.0043432378 0.0070552141 0.0134640819 0.0165596105 
53.4000000000 0.0018311179 0.0050180737 0.0079208592 0.0152868610 0.0182621225 
53.7000000000 0.0019530792 0.0057429354 0.0090050915 0.0170888244 0.0203152828 
54.0000000000 0.0021042909 0.0062169263 0.0097825069 0.0191566855 0.0235051913 
54.3000000000 0.0023507965 0.0065633070 0.0103478890 0.0208400563 0.0276232813 
54.6000000000 0.0024316815 0.0069429501 0.0109476581 0.0224374912 0.0312407319 
54.9000000000 0.0025024715 0.0073043106 0.0115055501 0.0239562328 0.0339395609 
55.2000000000 0.0025818285 0.0076062888 0.0119621593 0.0252825094 0.0361695557 
55.5000000000 0.0026483554 0.0078970743 0.0124372708 0.0264904370 0.0383523231 
55.8000000000 0.0027314376 0.0081339153 0.0128805000 0.0275629739 0.0398969897 
56.1000000000 0.0028422372 0.0083815229 0.0133133554 0.0284052607 0.0415356156 
56.4000000000 0.0029485801 0.0087854410 0.0136886324 0.0293013833 0.0428882684 
56.7000000000 0.0030607152 0.0090721244 0.0141527678 0.0303629316 0.0442465381 
57.0000000000 0.0031036672 0.0093562985 0.0146068565 0.0312980779 0.0453430625 
57.3000000000 0.0031428447 0.0095647559 0.0150603359 0.0316966548 0.0459384815 
57.6000000000 0.0031392644 0.0097482800 0.0154629202 0.0314152636 0.0459605614 
57.9000000000 0.0031370076 0.0098986122 0.0157653540 0.0306835378 0.0451148510 
58.2000000000 0.0031395071 0.0100148093 0.0159981899 0.0291737709 0.0434075799 
58.5000000000 0.0031340325 0.0100533061 0.0160775484 0.0269676182 0.0409697164 
58.8000000000 0.0031039717 0.0099289228 0.0159821164 0.0242381779 0.0371471160 
59.1000000000 0.0030163434 0.0096792150 0.0157624829 0.0213187722 0.0333761033 
59.4000000000 0.0028910394 0.0093110321 0.0153948958 0.0192247375 0.0304789718 
59.7000000000 0.0026622435 0.0088093926 0.0148042662 0.0173633939 0.0275207952 
60.0000000000 0.0024271200 0.0081442800 0.0137934097 0.0155208210 0.0254867143 
60.3000000000 0.0022906120 0.0075335712 0.0127936090 0.0138492314 0.0242756487 
60.6000000000 0.0022310646 0.0072628777 0.0121676231 0.0121607810 0.0213625190 
60.9000000000 0.0021492863 0.0070605051 0.0117817881 0.0101391786 0.0183022853 
61.2000000000 0.0020611961 0.0067898086 0.0114141715 0.0093710470 0.0171652194 
61.5000000000 0.0019860689 0.0065049156 0.0109189136 0.0092910573 0.0147670183 
61.8000000000 0.0019365446 0.0061395925 0.0103847990 0.0090969112 0.0141617815 
62.1000000000 0.0018029847 0.0057677670 0.0098651865 0.0094386101 0.0143026892 
62.4000000000 0.0016853919 0.0054796734 0.0091650389 0.0102925321 0.0151089483 
62.7000000000 0.0015537436 0.0051165127 0.0084494866 0.0110719073 0.0160834279 
63.0000000000 0.0014463002 0.0047262719 0.0078696637 0.0117481595 0.0175264433 
63.3000000000 0.0013026145 0.0043594466 0.0072996459 0.0124428784 0.0185891310 
63.6000000000 0.0012151572 0.0040025169 0.0067320908 0.0126804523 0.0192898987 
63.9000000000 0.0011478487 0.0036849216 0.0062099097 0.0127331839 0.0193020734 
64.2000000000 0.0011136914 0.0034214730 0.0056782996 0.0126582612 0.0190821395 
