t q1 q2 q3 q4 q5 
2.9300000000 0.0418743023 0.0433662731 0.0448619430 0.0500584714 0.0550153404 
2.9400000000 0.0419849123 0.0434623961 0.0449528202 0.0501113066 0.0550570187 
2.9500000000 0.0420903860 0.0435512219 0.0450273170 0.0501985828 0.0550842603 
2.9600000000 0.0421977901 0.0436514951 0.0451026291 0.0502819890 0.0551144461 
2.9700000000 0.0422966488 0.0437469243 0.0451671827 0.0503508813 0.0551574055 
2.9800000000 0.0423977439 0.0438322166 0.0452658530 0.0503899395 0.0551720664 
2.9900000000 0.0424892248 0.0439096607 0.0453515692 0.0504648372 0.0552000364 
3.0000000000 0.0425808388 0.0439791413 0.0454275320 0.0505271997 0.0552029423 
3.0100000000 0.0426617560 0.0440531879 0.0455008760 0.0505552906 0.0551774502 
3.0200000000 0.0427401753 0.0441237299 0.0455599844 0.0505915397 0.0551662219 
3.0300000000 0.0428106702 0.0441782142 0.0456034859 0.0506210227 0.0551275889 
3.0400000000 0.0428787261 0.0442227274 0.0456405238 0.0506586250 0.0550937868 
3.0500000000 0.0429338132 0.0442547240 0.0456718711 0.0506504933 0.0550969639 
3.0600000000 0.0429879666 0.0442967354 0.0457178772 0.0506018466 0.0551180924 
3.0700000000 0.0430314655 0.0443319524 0.0457598446 0.0505932440 0.0550960014 
3.0800000000 0.0430737416 0.0443545663 0.0457841934 0.0505428310 0.0550924469 
3.0900000000 0.0431028757 0.0443625458 0.0457880037 0.0504987689 0.0550842364 
3.1000000000 0.0431279009 0.0443621348 0.0457949587 0.0504312716 0.0550528386 
3.1100000000 0.0431400183 0.0443729922 0.0457935303 0.0504106570 0.0549887655 
3.1200000000 0.0431466740 0.0443736673 0.0457699626 0.0504027505 0.0549718552 
3.1300000000 0.0431419449 0.0443538240 0.0457370967 0.0504015045 0.0549214773 
3.1400000000 0.0431316926 0.0443228299 0.0457207229 0.0503544057 0.0548460418 
3.1500000000 0.0431065020 0.0442802194 0.0456947923 0.0503133984 0.0547631621 
3.1600000000 0.0430814920 0.0442510422 0.0456563790 0.0502578536 0.0547021957 
3.1700000000 0.0430421181 0.0442067153 0.0456075719 0.0501748345 0.0545573604 
3.1800000000 0.0430023250 0.0441500128 0.0455454460 0.0501382859 0.0544627779 
3.1900000000 0.0429489414 0.0440805472 0.0454744224 0.0500525643 0.0543319346 
3.2000000000 0.0428948701 0.0439979668 0.0453763433 0.0499726116 0.0542523236 
3.2100000000 0.0428263733 0.0439383944 0.0452800327 0.0498422077 0.0540857319 
3.2200000000 0.0427554579 0.0438612759 0.0452093457 0.0497173848 0.0539427247 
